Name,Main category,Sub category,Valve,Level,Combined_tags
\\PIGILCollective\SACPP_CEN_PIC2675B_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2675B_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_LI2674_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2674_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LI2675_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2675_PV WATER LEVEL 2
\\PIGILCollective\SACPP_CEN_PI2871_PV,Utility,Air system,0,0,SACPP_CEN_PI2871_PV INST AIR PRESSURE HEADER
\\PIGILCollective\SACPP_CEN_PI2923_PV,Utility,Air system,0,0,SACPP_CEN_PI2923_PV UTILITY AIR OUTLET PRESSURE
\\pigilcollective\Centrifugal Compressor.Compressor Surge Percentage,Gas_Processing,DPCU,0,0,CENTRIFUGAL COMPRESSOR.COMPRESSOR SURGE PERCENTAGE COMPRESSOR SURGE PERCENTAGE
\\PIGILCollective\Centrifugal Compressor.Daily Online Hours,Gas_Processing,DPCU,0,0,CENTRIFUGAL COMPRESSOR.DAILY ONLINE HOURS DAILY ONLINE HOURS
\\PIGILCollective\SACPP_CEN_PI2223_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2223_PV DISCHARGE PRESSURE
\\PIGILCollective\SACPP_CEN_TI2222_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2222_PV DISCHARGE TEMPERATURE
\\PIGILCollective\Centrifugal Compressor.Speed,Gas_Processing,DPCU,0,0,CENTRIFUGAL COMPRESSOR.SPEED SPEED
\\PIGILCollective\SACPP_CEN_PI2222_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2222_PV SUCTION PRESSURE
\\PIGILCollective\SACPP_CEN_TI2201_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2201_PV SUCTION TEMPERATURE
\\PIGILCollective\SACPP_CEN_PI2221_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2221_PV DISCHARGE PRESSURE
\\PIGILCollective\SACPP_CEN_TI2220_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2220_PV DISCHARGE TEMPERATURE
\\PIGILCollective\SACPP_CEN_FI2220_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_FI2220_PV FLOWRATE
\\PIGILCollective\SACPP_CEN_PI2220A_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2220A_PV SUCTION PRESSURE
\\PIGILCollective\SACPP_CEN_TI2210_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2210_PV SUCTION TEMPERATURE
\\PIGILCollective\SACPP_PE_C2220_EXP2220_DAILY_RUN_HOUR,Gas_Processing,DPCU,0,0,SACPP_PE_C2220_EXP2220_DAILY_RUN_HOUR DAILY ONLINE HOURS
\\PIGILCollective\SACPP_CEN_SIC2220_PV,Gas_Processing,DPCU,Yes,0,SACPP_CEN_SIC2220_PV N1 SPEED ACTUAL
\\PIGILCollective\SACPP_CEN_PI2443_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2443_PV DISCHARGE PRESSURE
\\PIGILCollective\SACPP_CEN_TI2442_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2442_PV DISCHARGE TEMPERATURE
\\PIGILCollective\SACPP_CEN_PI2442_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_PI2442_PV SUCTION PRESSURE
\\PIGILCollective\SACPP_CEN_TI2421_PV,Gas_Processing,DPCU,0,0,SACPP_CEN_TI2421_PV SUCTION TEMPERATURE
